"origName","decimalLongitude","decimalLatitude","year","database","acceptName","name","longitude","latitude","ID"
"Paspalum dilatatum",21.3008308410645,-34.1636085510254,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.3008308410645,-34.1636085510254,72
"Paspalum dilatatum",21.58056,-34.0225,1963,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.58056,-34.0225,73
"Paspalum dilatatum",21.5805606842041,-34.0224990844727,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.5805606842041,-34.0224990844727,74
"Paspalum dilatatum",21.6772193908691,-33.5224990844727,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.6772193908691,-33.5224990844727,75
"Paspalum dilatatum",21.67722,-33.5225,1959,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.67722,-33.5225,76
"Paspalum dilatatum",21.76333,-34.0272,1968,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.76333,-34.0272,77
"Paspalum dilatatum",21.7633304595947,-34.0272216796875,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.7633304595947,-34.0272216796875,78
"Paspalum dilatatum",21.80083,-34.1861,1968,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.80083,-34.1861,79
"Paspalum dilatatum",21.8008308410645,-34.1861114501953,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.8008308410645,-34.1861114501953,80
"Paspalum dilatatum",21.875,-34.125,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.875,-34.125,81
"Paspalum dilatatum",21.875,-32.125,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.875,-32.125,82
"Paspalum dilatatum",21.8816699981689,-33.4952812194824,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.8816699981689,-33.4952812194824,83
"Paspalum dilatatum",21.88167,-33.4952,1959,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.88167,-33.4952,84
"Paspalum dilatatum",22.0324993133545,-34.1816711425781,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.0324993133545,-34.1816711425781,85
"Paspalum dilatatum",22.0325,-34.1816,1962,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.0325,-34.1816,86
"Paspalum dilatatum",22.0597190856934,-34.0680618286133,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.0597190856934,-34.0680618286133,87
"Paspalum dilatatum",22.05972,-34.068,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.05972,-34.068,88
"Paspalum dilatatum",22.125,-32.375,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.125,-32.375,89
"Paspalum dilatatum",22.2311096191406,-33.6680603027344,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.2311096191406,-33.6680603027344,90
