origName,decimalLongitude,decimalLatitude,year,database,acceptName
Paspalum dilatatum,-121.2194,37.80673,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.193889,38.647222,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.183039,37.695299,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.17806,38.68694,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.173843,39.089743,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.17053,37.637897,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.145,45.603333,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.126029,36.212744,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.114883,38.879433,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.113573,38.695984,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.104657,40.019749,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.09944,39.02583,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.09889,38.94861,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.09721,37.79926,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.092332151948,38.8887588467755,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.08472,39.395,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.075487,38.894399,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.072146748896,38.5167764678048,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.05972,39.02083,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.059549,39.219937,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.01389,38.835,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.00917,38.05889,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.996603,37.797427,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.99583,37.53763,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.99432,37.796844,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.993942,37.537535,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.9925,37.92556,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.99111,37.92972,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.951149,37.801987,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.937587,37.793442,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.93611,38.3225,NA,GBIF,Paspalum dilatatum Poir.
