X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
30.9,-27.3,train,3.848805959542543E-4,48.40516990762576,0.6869396828413653
30.90833,-27.9083,train,4.1434304362588845E-4,51.88173674863454,0.7135699636470754
30.90833,-27.7916,train,4.561068793212588E-4,58.22270509063657,0.7474841896059784
30.91,-29.84,train,2.0136310027727396E-4,24.82091460728802,0.45534561614300806
31.00833,-27.925,train,4.205903291291708E-4,53.029261182419816,0.7189188521564114
31.06667,-27.825,train,4.790725313830282E-4,61.23463305282679,0.7643904303712847
31.125,-29.875,train,1.7420148722010464E-4,19.575623799105074,0.4088260257164986
31.125,-26.125,train,3.784875726169327E-4,47.759344451249795,0.6808419192940718
31.175,-28.375,train,3.1731738228941194E-4,39.31092268099497,0.6161450482201629
31.20833,-27.6916,train,4.068611978458975E-4,50.99683645882366,0.7070299372790977
31.21667,-28.325,train,3.0337898287665174E-4,37.38090117492073,0.5996563804664072
-49.40417,-28.61444,train,5.212116740520203E-4,66.42975652723881,0.7925224471694892
-94.91273,29.49057,train,6.578200182491214E-4,78.32117998192206,0.8626113469296538
-97.27672,30.1093,train,3.118694445950116E-4,38.4191635677677,0.6097827436605692
-95.66444,30.52972,train,4.531439422510872E-4,57.987029639575034,0.7452164432232282
-95.9226,29.92745,train,4.6426708550844194E-4,59.4611947904279,0.7536259727153859
-95.4485,29.75903,train,6.371488876919194E-4,77.05209624714163,0.8537689399544851
-95.28561,30.02738,train,6.318331474006336E-4,76.5443056558896,0.8514044814119373
-95.22487,29.43931,train,7.297834823849114E-4,83.24124840141559,0.8894279474276792
-96.01487,30.20341,train,4.069109763620486E-4,51.01517006463609,0.7070739393582384
-96.54572,28.9568,train,5.071422398984025E-4,64.3530449726462,0.7835245769409754
-88.18471,30.69855,train,9.157634060580506E-4,92.52223412628962,0.9369150930464843
-94.7543,32.49473,train,2.13695668833624E-4,26.504358701669457,0.4752413303188323
-96.46975,32.95288,train,9.829895457378761E-5,9.214560736598157,0.25666803933123505
-94.74321,32.51102,train,1.9886328415389147E-4,24.410749225010154,0.45122171087665364
-156.2988,20.82979,train,4.666802096101868E-4,59.80888009724345,0.7554134272627792
121.6135,25.04465,train,0.0012039354515233857,96.95937652712253,0.9735584740486677
-77.09677,34.93622,train,2.9738140053861117E-4,36.30299148956246,0.5923452339634352
-90.14626,33.78553,train,1.344502871794086E-4,13.528040134793454,0.3334882594163754
-52.48583,-30.32455,train,4.6030951094636015E-4,59.029862656435505,0.750666186379811
-53.71639,-27.02528,train,4.183109144281823E-4,52.76833770706103,0.7169789041626304
-97.7424,30.26062,train,2.74513013364458E-4,33.14192732594122,0.5632220443435809
-95.80194,29.52222,train,5.459904059643008E-4,69.13002833642642,0.8074695203620845
-95.79264,30.03703,train,5.02083294238972E-4,63.55089972836495,0.7801946996217173
