"name","decimalLongitude","decimalLatitude"
"Paspalum urvillei",150.8652,-33.69062
"Paspalum urvillei",150.7988,-34.07123
"Paspalum urvillei",151.2602,-33.76605
"Paspalum urvillei",-86.1228,30.6886
"Paspalum urvillei",-81.3328,31.9611
"Paspalum urvillei",151.6427,-30.48004
"Paspalum urvillei",151.0324,-33.73401
"Paspalum urvillei",-86.51,30.7536
"Paspalum urvillei",150.8769,-33.66789
"Paspalum urvillei",-81.4769,30.6306
"Paspalum urvillei",150.9657,-33.69007
"Paspalum urvillei",-85.1742,30.0056
"Paspalum urvillei",-81.645,30.6192
"Paspalum urvillei",-95.81422,29.93008
"Paspalum urvillei",-97.12586,33.17922
"Paspalum urvillei",-85.655,30.7861
"Paspalum urvillei",-83.8744,30.5175
"Paspalum urvillei",152.8372,-31.45052
"Paspalum urvillei",-85.0711,31.1275
"Paspalum urvillei",-87.0333,30.6256
"Paspalum urvillei",-81.5886,31.1386
"Paspalum urvillei",150.8185,-34.10869
"Paspalum urvillei",-95.15456,29.91138
"Paspalum urvillei",-95.06891,29.58912
"Paspalum urvillei",150.9618,-33.96403
"Paspalum urvillei",-95.15124,29.59025
"Paspalum urvillei",-85.2167,30.7739
"Paspalum urvillei",-94.44965,33.46855
"Paspalum urvillei",151.0197,-33.78417
"Paspalum urvillei",-95.11268,29.88483
"Paspalum urvillei",-95.73851,30.04993
"Paspalum urvillei",150.6133,-33.74102
"Paspalum urvillei",151.2129,-34.03092
"Paspalum urvillei",-95.51484,29.94199
"Paspalum urvillei",-95.52386,29.95548
"Paspalum urvillei",-94.33759,30.58341
"Paspalum urvillei",-90.23662,30.74012
"Paspalum urvillei",139.1281,35.3491
"Paspalum urvillei",-97.86141,30.62089
"Paspalum urvillei",151.0104,-33.69729
"Paspalum urvillei",150.9285,-33.6851
"Paspalum urvillei",-97.77017,30.46401
"Paspalum urvillei",-95.89096,29.90175
"Paspalum urvillei",150.7244,-34.78354
"Paspalum urvillei",-95.63224,29.91436
"Paspalum urvillei",-95.57914,29.76707
"Paspalum urvillei",-95.62544,29.91261
"Paspalum urvillei",-95.37132,29.75147
"Paspalum urvillei",150.9485,-33.71192
"Paspalum urvillei",-95.8015,30.03019
"Paspalum urvillei",-95.97658,31.18325
"Paspalum urvillei",150.9884,-33.68795
"Paspalum urvillei",-94.67108,30.28067
"Paspalum urvillei",-97.77123,30.38875
"Paspalum urvillei",-97.42854,32.75116
"Paspalum urvillei",-94.41058,30.54752
"Paspalum urvillei",-95.88538,30.3363
"Paspalum urvillei",-94.74157,32.51571
"Paspalum urvillei",-80.18114,32.56678
"Paspalum urvillei",-95.42763,32.52926
"Paspalum urvillei",151.2809,-33.41891
"Paspalum urvillei",-97.88826,30.20253
"Paspalum urvillei",-95.26017,29.74544
"Paspalum urvillei",151.6621,-32.83873
"Paspalum urvillei",121.4099,24.87054
